__time,/amcl_pose/header/seq,/amcl_pose/header/stamp,/amcl_pose/pose/covariance[0;0],/amcl_pose/pose/covariance[0;1],/amcl_pose/pose/covariance[0;2],/amcl_pose/pose/covariance[0;3],/amcl_pose/pose/covariance[0;4],/amcl_pose/pose/covariance[0;5],/amcl_pose/pose/covariance[1;1],/amcl_pose/pose/covariance[1;2],/amcl_pose/pose/covariance[1;3],/amcl_pose/pose/covariance[1;4],/amcl_pose/pose/covariance[1;5],/amcl_pose/pose/covariance[2;2],/amcl_pose/pose/covariance[2;3],/amcl_pose/pose/covariance[2;4],/amcl_pose/pose/covariance[2;5],/amcl_pose/pose/covariance[3;3],/amcl_pose/pose/covariance[3;4],/amcl_pose/pose/covariance[3;5],/amcl_pose/pose/covariance[4;4],/amcl_pose/pose/covariance[4;5],/amcl_pose/pose/covariance[5;5],/amcl_pose/pose/pose/orientation/pitch_deg,/amcl_pose/pose/pose/orientation/roll_deg,/amcl_pose/pose/pose/orientation/w,/amcl_pose/pose/pose/orientation/x,/amcl_pose/pose/pose/orientation/y,/amcl_pose/pose/pose/orientation/yaw_deg,/amcl_pose/pose/pose/orientation/z,/amcl_pose/pose/pose/position/x,/amcl_pose/pose/pose/position/y,/amcl_pose/pose/pose/position/z,/odom/header/seq,/odom/header/stamp,/odom/pose/covariance[0;0],/odom/pose/covariance[0;1],/odom/pose/covariance[0;2],/odom/pose/covariance[0;3],/odom/pose/covariance[0;4],/odom/pose/covariance[0;5],/odom/pose/covariance[1;1],/odom/pose/covariance[1;2],/odom/pose/covariance[1;3],/odom/pose/covariance[1;4],/odom/pose/covariance[1;5],/odom/pose/covariance[2;2],/odom/pose/covariance[2;3],/odom/pose/covariance[2;4],/odom/pose/covariance[2;5],/odom/pose/covariance[3;3],/odom/pose/covariance[3;4],/odom/pose/covariance[3;5],/odom/pose/covariance[4;4],/odom/pose/covariance[4;5],/odom/pose/covariance[5;5],/odom/pose/pose/orientation/pitch_deg,/odom/pose/pose/orientation/roll_deg,/odom/pose/pose/orientation/w,/odom/pose/pose/orientation/x,/odom/pose/pose/orientation/y,/odom/pose/pose/orientation/yaw_deg,/odom/pose/pose/orientation/z,/odom/pose/pose/position/x,/odom/pose/pose/position/y,/odom/pose/pose/position/z,/odom/twist/covariance[0;0],/odom/twist/covariance[0;1],/odom/twist/covariance[0;2],/odom/twist/covariance[0;3],/odom/twist/covariance[0;4],/odom/twist/covariance[0;5],/odom/twist/covariance[1;1],/odom/twist/covariance[1;2],/odom/twist/covariance[1;3],/odom/twist/covariance[1;4],/odom/twist/covariance[1;5],/odom/twist/covariance[2;2],/odom/twist/covariance[2;3],/odom/twist/covariance[2;4],/odom/twist/covariance[2;5],/odom/twist/covariance[3;3],/odom/twist/covariance[3;4],/odom/twist/covariance[3;5],/odom/twist/covariance[4;4],/odom/twist/covariance[4;5],/odom/twist/covariance[5;5],/odom/twist/twist/angular/x,/odom/twist/twist/angular/y,/odom/twist/twist/angular/z,/odom/twist/twist/linear/x,/odom/twist/twist/linear/y,/odom/twist/twist/linear/z,/odometry/filtered/header/seq,/odometry/filtered/header/stamp,/odometry/filtered/pose/covariance[0;0],/odometry/filtered/pose/covariance[0;1],/odometry/filtered/pose/covariance[0;2],/odometry/filtered/pose/covariance[0;3],/odometry/filtered/pose/covariance[0;4],/odometry/filtered/pose/covariance[0;5],/odometry/filtered/pose/covariance[1;1],/odometry/filtered/pose/covariance[1;2],/odometry/filtered/pose/covariance[1;3],/odometry/filtered/pose/covariance[1;4],/odometry/filtered/pose/covariance[1;5],/odometry/filtered/pose/covariance[2;2],/odometry/filtered/pose/covariance[2;3],/odometry/filtered/pose/covariance[2;4],/odometry/filtered/pose/covariance[2;5],/odometry/filtered/pose/covariance[3;3],/odometry/filtered/pose/covariance[3;4],/odometry/filtered/pose/covariance[3;5],/odometry/filtered/pose/covariance[4;4],/odometry/filtered/pose/covariance[4;5],/odometry/filtered/pose/covariance[5;5],/odometry/filtered/pose/pose/orientation/pitch_deg,/odometry/filtered/pose/pose/orientation/roll_deg,/odometry/filtered/pose/pose/orientation/w,/odometry/filtered/pose/pose/orientation/x,/odometry/filtered/pose/pose/orientation/y,/odometry/filtered/pose/pose/orientation/yaw_deg,/odometry/filtered/pose/pose/orientation/z,/odometry/filtered/pose/pose/position/x,/odometry/filtered/pose/pose/position/y,/odometry/filtered/pose/pose/position/z,/odometry/filtered/twist/covariance[0;0],/odometry/filtered/twist/covariance[0;1],/odometry/filtered/twist/covariance[0;2],/odometry/filtered/twist/covariance[0;3],/odometry/filtered/twist/covariance[0;4],/odometry/filtered/twist/covariance[0;5],/odometry/filtered/twist/covariance[1;1],/odometry/filtered/twist/covariance[1;2],/odometry/filtered/twist/covariance[1;3],/odometry/filtered/twist/covariance[1;4],/odometry/filtered/twist/covariance[1;5],/odometry/filtered/twist/covariance[2;2],/odometry/filtered/twist/covariance[2;3],/odometry/filtered/twist/covariance[2;4],/odometry/filtered/twist/covariance[2;5],/odometry/filtered/twist/covariance[3;3],/odometry/filtered/twist/covariance[3;4],/odometry/filtered/twist/covariance[3;5],/odometry/filtered/twist/covariance[4;4],/odometry/filtered/twist/covariance[4;5],/odometry/filtered/twist/covariance[5;5],/odometry/filtered/twist/twist/angular/x,/odometry/filtered/twist/twist/angular/y,/odometry/filtered/twist/twist/angular/z,/odometry/filtered/twist/twist/linear/x,/odometry/filtered/twist/twist/linear/y,/odometry/filtered/twist/twist/linear/z
1666146487.094638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48876.000000,1663128462.080698,0.001000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001000,0.000000,0.000000,0.000000,0.000000,1000000.000000,0.000000,0.000000,0.000000,1000000.000000,0.000000,0.000000,1000000.000000,0.000000,0.030000,0.000000,0.000000,0.999518,0.000000,0.000000,3.558362,0.031048,23.233673,5.568835,0.000000,0.001000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001000,0.000000,0.000000,0.000000,0.000000,1000000.000000,0.000000,0.000000,0.000000,1000000.000000,0.000000,0.000000,1000000.000000,0.000000,0.030000,0.000000,0.000000,-0.003158,0.550000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1666146487.118512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55986.000000,1663128462.097698,30.412244,0.001766,0.000000,0.000000,0.000000,0.000000,30.409373,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.588434,0.000000,0.000000,107.908135,0.808546,0.244170,10.997089,0.000000,0.001370,0.000000,0.000000,0.000000,0.000000,0.000000,0.001370,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001893,0.000000,0.000000,-0.022875,0.462669,0.009142,0.000000
1666146487.118871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55987.000000,1663128462.108698,30.412795,0.001766,0.000000,0.000000,0.000000,0.000000,30.409924,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.589392,0.000000,0.000000,107.772232,0.807847,0.242584,11.001808,0.000000,0.001647,0.000000,0.000000,0.000000,0.000000,0.000000,0.001647,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001948,0.000000,0.000000,-0.023469,0.455714,0.009515,0.000000
1666146487.138771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55988.000000,1663128462.119698,30.413344,0.001766,0.000000,0.000000,0.000000,0.000000,30.410473,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.590377,0.000000,0.000000,107.632449,0.807128,0.240281,11.009711,0.000000,0.000492,0.000000,0.000000,0.000000,0.000000,0.000000,0.000492,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001649,0.000000,0.000000,-0.019989,0.526801,0.002727,0.000000
1666146487.142421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48878.000000,1663128462.102698,0.001000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001000,0.000000,0.000000,0.000000,0.000000,1000000.000000,0.000000,0.000000,0.000000,1000000.000000,0.000000,0.000000,1000000.000000,0.000000,0.030000,0.000000,0.000000,0.999609,0.000000,0.000000,3.206546,0.027979,23.244605,5.569465,0.000000,0.001000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001000,0.000000,0.000000,0.000000,0.000000,1000000.000000,0.000000,0.000000,0.000000,1000000.000000,0.000000,0.000000,1000000.000000,0.000000,0.030000,0.000000,0.000000,-0.003158,0.540000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1666146487.142451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48880.000000,1663128462.124698,0.001000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001000,0.000000,0.000000,0.000000,0.000000,1000000.000000,0.000000,0.000000,0.000000,1000000.000000,0.000000,0.000000,1000000.000000,0.000000,0.030000,0.000000,0.000000,0.999690,0.000000,0.000000,2.854730,0.024910,23.255440,5.570022,0.000000,0.001000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001000,0.000000,0.000000,0.000000,0.000000,1000000.000000,0.000000,0.000000,0.000000,1000000.000000,0.000000,0.000000,1000000.000000,0.000000,0.030000,0.000000,0.000000,-0.003158,0.550000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1666146487.182617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55991.000000,1663128462.157698,30.415244,0.001766,0.000000,0.000000,0.000000,-0.000000,30.412373,0.000000,0.000000,0.000000,-0.000000,0.000001,0.000000,-0.000000,0.000000,0.000001,0.000000,0.000000,0.000001,0.000000,0.000300,0.000000,0.000000,0.593337,0.000000,0.000000,107.211692,0.804954,0.234033,11.029534,0.000000,0.000395,0.000000,0.000000,0.000000,0.000000,0.000000,0.000395,0.000000,0.000000,0.000000,0.000000,0.000001,0.000000,-0.000000,0.000000,0.000001,0.000000,0.000000,0.000001,0.000000,0.001646,0.000000,0.000000,-0.018595,0.548990,0.002057,0.000000
1666146487.182655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55992.000000,1663128462.163698,30.415544,0.001766,0.000000,0.000000,0.000000,-0.000000,30.412673,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.594322,0.000000,0.000000,107.071399,0.804227,0.233073,11.032668,0.000000,0.000545,0.000000,0.000000,0.000000,0.000000,0.000000,0.000545,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001649,0.000000,0.000000,-0.019606,0.545774,0.002137,0.000000
1666146487.186532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48883.000000,1663128462.168698,0.001000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001000,0.000000,0.000000,0.000000,0.000000,1000000.000000,0.000000,0.000000,0.000000,1000000.000000,0.000000,0.000000,1000000.000000,0.000000,0.030000,0.000000,0.000000,0.999788,0.000000,0.000000,2.362187,0.020613,23.272573,5.570780,0.000000,0.001000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001000,0.000000,0.000000,0.000000,0.000000,1000000.000000,0.000000,0.000000,0.000000,1000000.000000,0.000000,0.000000,1000000.000000,0.000000,0.030000,0.000000,0.000000,-0.003158,0.590000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1666146487.189936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48884.000000,1663128462.179698,0.001000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001000,0.000000,0.000000,0.000000,0.000000,1000000.000000,0.000000,0.000000,0.000000,1000000.000000,0.000000,0.000000,1000000.000000,0.000000,0.030000,0.000000,0.000000,0.999819,0.000000,0.000000,2.181253,0.019034,23.278469,5.571005,0.000000,0.001000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001000,0.000000,0.000000,0.000000,0.000000,1000000.000000,0.000000,0.000000,0.000000,1000000.000000,0.000000,0.000000,1000000.000000,0.000000,0.030000,0.000000,0.000000,-0.003158,0.590000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
