Series,Current,Min,Max,Average
Start Time,-1.79769e+308
End Time,1.79769e+308
Current Time,1.66615e+09
/imu/data_raw/angular_velocity/x,0.000133,-0.000533,0.000266,-0.000085
/imu/data_raw/angular_velocity/y,0.000133,-0.000933,0.000666,-0.000183
/imu/data_raw/angular_velocity/z,-0.000933,-0.000933,0.000666,-0.000007
/imu/data_raw/angular_velocity_covariance[0;0],0.025000,0.025000,0.025000,0.025000
/imu/data_raw/angular_velocity_covariance[0;1],0.000000,0.000000,0.000000,0.000000
/imu/data_raw/angular_velocity_covariance[0;2],0.000000,0.000000,0.000000,0.000000
/imu/data_raw/angular_velocity_covariance[1;1],0.025000,0.025000,0.025000,0.025000
/imu/data_raw/angular_velocity_covariance[1;2],0.000000,0.000000,0.000000,0.000000
/imu/data_raw/angular_velocity_covariance[2;2],0.025000,0.025000,0.025000,0.025000
/imu/data_raw/header/seq,43279.000000,42443.000000,43279.000000,42861.000000
/imu/data_raw/header/stamp,1663128329.993296,1663128320.798057,1663128329.993296,1663128325.395783
/imu/data_raw/linear_acceleration/x,0.062249,-0.029928,0.165798,0.057809
/imu/data_raw/linear_acceleration/y,0.034117,-0.110732,0.094571,0.008152
/imu/data_raw/linear_acceleration/z,4.893745,4.685450,5.019441,4.857231
/imu/data_raw/linear_acceleration_covariance[0;0],0.025000,0.025000,0.025000,0.025000
/imu/data_raw/linear_acceleration_covariance[0;1],0.000000,0.000000,0.000000,0.000000
/imu/data_raw/linear_acceleration_covariance[0;2],0.000000,0.000000,0.000000,0.000000
/imu/data_raw/linear_acceleration_covariance[1;1],0.025000,0.025000,0.025000,0.025000
/imu/data_raw/linear_acceleration_covariance[1;2],0.000000,0.000000,0.000000,0.000000
/imu/data_raw/linear_acceleration_covariance[2;2],0.025000,0.025000,0.025000,0.025000
/imu/data_raw/orientation/pitch_deg,-0.695094,-0.700798,-0.636803,-0.673270
/imu/data_raw/orientation/roll_deg,0.114572,0.081850,0.115043,0.098142
/imu/data_raw/orientation/w,0.835022,0.834839,0.835144,0.834985
/imu/data_raw/orientation/x,-0.002502,-0.002686,-0.002258,-0.002518
/imu/data_raw/orientation/y,-0.005615,-0.005615,-0.005127,-0.005377
/imu/data_raw/orientation/yaw_deg,-66.760070,-66.794929,-66.734790,-66.766943
/imu/data_raw/orientation/z,-0.550171,-0.550415,-0.549988,-0.550219
/imu/data_raw/orientation_covariance[0;0],0.000000,0.000000,0.000000,0.000000
/imu/data_raw/orientation_covariance[0;1],0.000000,0.000000,0.000000,0.000000
/imu/data_raw/orientation_covariance[0;2],0.000000,0.000000,0.000000,0.000000
/imu/data_raw/orientation_covariance[1;1],0.000000,0.000000,0.000000,0.000000
/imu/data_raw/orientation_covariance[1;2],0.000000,0.000000,0.000000,0.000000
/imu/data_raw/orientation_covariance[2;2],0.000000,0.000000,0.000000,0.000000
/odom/header/seq,38307.000000,37571.000000,38307.000000,37939.380000
/odom/header/stamp,1663128329.965296,1663128320.770057,1663128329.965296,1663128325.370510
/odom/pose/covariance[0;0],0.000000,0.000000,0.000000,0.000000
/odom/pose/covariance[0;1],0.000000,0.000000,0.000000,0.000000
/odom/pose/covariance[0;2],0.000000,0.000000,0.000000,0.000000
/odom/pose/covariance[0;3],0.000000,0.000000,0.000000,0.000000
/odom/pose/covariance[0;4],0.000000,0.000000,0.000000,0.000000
/odom/pose/covariance[0;5],0.000000,0.000000,0.000000,0.000000
/odom/pose/covariance[1;1],0.001000,0.001000,0.001000,0.001000
/odom/pose/covariance[1;2],0.000000,0.000000,0.000000,0.000000
/odom/pose/covariance[1;3],0.000000,0.000000,0.000000,0.000000
/odom/pose/covariance[1;4],0.000000,0.000000,0.000000,0.000000
/odom/pose/covariance[1;5],0.000000,0.000000,0.000000,0.000000
/odom/pose/covariance[2;2],1000000.000000,1000000.000000,1000000.000000,1000000.000000
/odom/pose/covariance[2;3],0.000000,0.000000,0.000000,0.000000
/odom/pose/covariance[2;4],0.000000,0.000000,0.000000,0.000000
/odom/pose/covariance[2;5],0.000000,0.000000,0.000000,0.000000
/odom/pose/covariance[3;3],1000000.000000,1000000.000000,1000000.000000,1000000.000000
/odom/pose/covariance[3;4],0.000000,0.000000,0.000000,0.000000
/odom/pose/covariance[3;5],0.000000,0.000000,0.000000,0.000000
/odom/pose/covariance[4;4],1000000.000000,1000000.000000,1000000.000000,1000000.000000
/odom/pose/covariance[4;5],0.000000,0.000000,0.000000,0.000000
/odom/pose/covariance[5;5],0.000000,0.000000,0.000000,0.000000
/odom/pose/pose/orientation/pitch_deg,0.000000,0.000000,0.000000,0.000000
/odom/pose/pose/orientation/roll_deg,0.000000,0.000000,0.000000,0.000000
/odom/pose/pose/orientation/w,0.596075,0.596075,0.596075,0.596075
/odom/pose/pose/orientation/x,0.000000,0.000000,0.000000,0.000000
/odom/pose/pose/orientation/y,0.000000,0.000000,0.000000,0.000000
/odom/pose/pose/orientation/yaw_deg,-106.821446,-106.821446,-106.821446,-106.821446
/odom/pose/pose/orientation/z,-0.802929,-0.802929,-0.802929,-0.802929
/odom/pose/pose/position/x,6.878571,6.878571,6.878571,6.878571
/odom/pose/pose/position/y,-4.801472,-4.801472,-4.801472,-4.801472
/odom/pose/pose/position/z,0.000000,0.000000,0.000000,0.000000
/odom/twist/covariance[0;0],0.000000,0.000000,0.000000,0.000000
/odom/twist/covariance[0;1],0.000000,0.000000,0.000000,0.000000
/odom/twist/covariance[0;2],0.000000,0.000000,0.000000,0.000000
/odom/twist/covariance[0;3],0.000000,0.000000,0.000000,0.000000
/odom/twist/covariance[0;4],0.000000,0.000000,0.000000,0.000000
/odom/twist/covariance[0;5],0.000000,0.000000,0.000000,0.000000
/odom/twist/covariance[1;1],0.001000,0.001000,0.001000,0.001000
/odom/twist/covariance[1;2],0.000000,0.000000,0.000000,0.000000
/odom/twist/covariance[1;3],0.000000,0.000000,0.000000,0.000000
/odom/twist/covariance[1;4],0.000000,0.000000,0.000000,0.000000
/odom/twist/covariance[1;5],0.000000,0.000000,0.000000,0.000000
/odom/twist/covariance[2;2],1000000.000000,1000000.000000,1000000.000000,1000000.000000
/odom/twist/covariance[2;3],0.000000,0.000000,0.000000,0.000000
/odom/twist/covariance[2;4],0.000000,0.000000,0.000000,0.000000
/odom/twist/covariance[2;5],0.000000,0.000000,0.000000,0.000000
/odom/twist/covariance[3;3],1000000.000000,1000000.000000,1000000.000000,1000000.000000
/odom/twist/covariance[3;4],0.000000,0.000000,0.000000,0.000000
/odom/twist/covariance[3;5],0.000000,0.000000,0.000000,0.000000
/odom/twist/covariance[4;4],1000000.000000,1000000.000000,1000000.000000,1000000.000000
/odom/twist/covariance[4;5],0.000000,0.000000,0.000000,0.000000
/odom/twist/covariance[5;5],0.000000,0.000000,0.000000,0.000000
/odom/twist/twist/angular/x,0.000000,0.000000,0.000000,0.000000
/odom/twist/twist/angular/y,0.000000,0.000000,0.000000,0.000000
/odom/twist/twist/angular/z,0.000000,0.000000,0.000000,0.000000
/odom/twist/twist/linear/x,0.000000,0.000000,0.000000,0.000000
/odom/twist/twist/linear/y,0.000000,0.000000,0.000000,0.000000
/odom/twist/twist/linear/z,0.000000,0.000000,0.000000,0.000000
/odometry/filtered/header/seq,43798.000000,42944.000000,43798.000000,43380.518152
/odometry/filtered/header/stamp,1663128329.971296,1663128320.722057,1663128329.971296,1663128325.451873
/odometry/filtered/pose/covariance[0;0],23.803832,23.341239,23.803832,23.577797
/odometry/filtered/pose/covariance[0;1],0.001669,0.001626,0.001669,0.001648
/odometry/filtered/pose/covariance[0;2],0.000000,0.000000,0.000000,0.000000
/odometry/filtered/pose/covariance[0;3],0.000000,0.000000,0.000000,0.000000
/odometry/filtered/pose/covariance[0;4],0.000000,0.000000,0.000000,0.000000
/odometry/filtered/pose/covariance[0;5],-0.000000,-0.000000,-0.000000,-0.000000
/odometry/filtered/pose/covariance[1;1],23.801145,23.338639,23.801145,23.575153
/odometry/filtered/pose/covariance[1;2],0.000000,0.000000,0.000000,0.000000
/odometry/filtered/pose/covariance[1;3],0.000000,0.000000,0.000000,0.000000
/odometry/filtered/pose/covariance[1;4],0.000000,0.000000,0.000000,0.000000
/odometry/filtered/pose/covariance[1;5],-0.000000,-0.000000,0.000000,-0.000000
/odometry/filtered/pose/covariance[2;2],0.000000,0.000000,0.000001,0.000000
/odometry/filtered/pose/covariance[2;3],-0.000000,-0.000000,0.000000,-0.000000
/odometry/filtered/pose/covariance[2;4],0.000000,0.000000,0.000000,0.000000
/odometry/filtered/pose/covariance[2;5],0.000000,0.000000,0.000000,0.000000
/odometry/filtered/pose/covariance[3;3],0.000000,0.000000,0.000001,0.000000
/odometry/filtered/pose/covariance[3;4],0.000000,-0.000000,0.000000,0.000000
/odometry/filtered/pose/covariance[3;5],0.000000,0.000000,0.000000,0.000000
/odometry/filtered/pose/covariance[4;4],0.000000,0.000000,0.000001,0.000000
/odometry/filtered/pose/covariance[4;5],0.000000,0.000000,0.000000,0.000000
/odometry/filtered/pose/covariance[5;5],0.000000,0.000000,0.000300,0.000018
/odometry/filtered/pose/pose/orientation/pitch_deg,0.000000,0.000000,0.000000,0.000000
/odometry/filtered/pose/pose/orientation/roll_deg,0.000000,0.000000,0.000000,0.000000
/odometry/filtered/pose/pose/orientation/w,0.831334,0.831164,0.831456,0.831302
/odometry/filtered/pose/pose/orientation/x,0.000000,0.000000,0.000000,0.000000
/odometry/filtered/pose/pose/orientation/y,0.000000,0.000000,0.000000,0.000000
/odometry/filtered/pose/pose/orientation/yaw_deg,-67.528068,-67.563049,-67.502873,-67.534662
/odometry/filtered/pose/pose/orientation/z,-0.555774,-0.556028,-0.555591,-0.555822
/odometry/filtered/pose/pose/position/x,9.618338,9.618338,9.619626,9.618980
